trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.925, 'e': 0.002888217901244491}",30,16,28.03440947482431,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.925, 'e': 0.0026716015586511544}",30,17,23.094986163520296,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.925, 'e': 0.002471231441752318}",20,10,20.163419135904356,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.925, 'e': 0.002285889083620894}",20,6,27.348962191594925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.925, 'e': 0.0021144474023493272}",25,20,6.866626972579164,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.925, 'e': 0.0019558638471731276}",20,10,17.35812121045083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.925, 'e': 0.0018091740586351432}",20,2,14.532839646165417,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.925, 'e': 0.0016734860042375076}",20,11,18.14533164600877,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.925, 'e': 0.0015479745539196945}",20,0,30.46352100495581,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.925, 'e': 0.0014318764623757175}",25,11,26.124811811363216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.925, 'e': 0.0013244857276975388}",25,3,27.085723941743595,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.925, 'e': 0.0012251492981202234}",25,14,19.42143640432432,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.925, 'e': 0.0011332631007612067}",35,16,36.03450008354059,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.925, 'e': 0.0010482683682041163}",20,6,-16.2480738840224,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.925, 'e': 0.0009696482405888076}",25,20,8.95908372493761,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,27.28844830191059,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,6,42.13028488942716,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,21.3150319589234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,16,6.1858410360834455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,14,21.01454388906608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,24.768668208823023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,20.93792790254157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,25,21.368202438426014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,18.04194018328671,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,10,34.71322640644652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
