trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.975, 'e': 0.14234932390569235}",20,11,18.738163482069986,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.975, 'e': 0.13879059080805004}",20,0,17.138835517262173,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.975, 'e': 0.13532082603784878}",20,0,36.014775749808415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.975, 'e': 0.13193780538690256}",20,0,16.317173058041085,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.975, 'e': 0.12863936025223}",25,20,7.3776106515523265,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.975, 'e': 0.12542337624592423}",20,16,8.2105624545664,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.975, 'e': 0.12228779183977612}",20,10,12.960969792459634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.975, 'e': 0.11923059704378171}",25,7,-9.179315242162499,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.975, 'e': 0.11624983211768716}",35,24,20.16031872140536,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.975, 'e': 0.11334358631474498}",30,11,33.192256260553194,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.975, 'e': 0.11050999665687634}",25,15,14.77199422023141,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.975, 'e': 0.10774724674045444}",20,12,14.930449103577901,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.975, 'e': 0.10505356557194308}",20,3,17.689580684458562,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.975, 'e': 0.1024272264326445}",25,12,21.63318786344722,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.975, 'e': 0.09986654577182838}",25,0,33.92036908916415,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.975, 'e': 0.09736988212753267}",20,13,11.475582369141616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.975, 'e': 0.09493563507434435}",20,12,15.910854971649833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.975, 'e': 0.09256224419748574}",25,13,22.661490966343074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.975, 'e': 0.09024818809254859}",30,15,3.016050737274002,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.975, 'e': 0.08799198339023487}",20,8,17.357011457000443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
